id,category,collection/id,collection/name,franchises/0/id,franchises/0/name,franchises/1/id,franchises/1/name,franchises/2/id,franchises/2/name,game_modes/0/id,game_modes/0/name,genres/0/id,genres/0/name,genres/1/id,genres/1/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,name,platforms/0/id,platforms/0/name,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,themes/0/id,themes/0/name,game_modes/1/id,game_modes/1/name,game_modes/2/id,game_modes/2/name,game_modes/3/id,game_modes/3/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,themes/1/id,themes/1/name,themes/2/id,themes/2/name,themes/3/id,themes/3/name,genres/2/id,genres/2/name,genres/3/id,genres/3/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,keywords/8/id,keywords/8/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,platforms/1/id,platforms/1/name,platforms/2/id,platforms/2/name,platforms/3/id,platforms/3/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,keywords/16/id,keywords/16/name,keywords/17/id,keywords/17/name,keywords/18/id,keywords/18/name,keywords/19/id,keywords/19/name,keywords/20/id,keywords/20/name,keywords/21/id,keywords/21/name,keywords/22/id,keywords/22/name,keywords/23/id,keywords/23/name,keywords/24/id,keywords/24/name,keywords/25/id,keywords/25/name,keywords/26/id,keywords/26/name,keywords/27/id,keywords/27/name,keywords/28/id,keywords/28/name,keywords/29/id,keywords/29/name,keywords/30/id,keywords/30/name,keywords/31/id,keywords/31/name,keywords/32/id,keywords/32/name,keywords/33/id,keywords/33/name,keywords/34/id,keywords/34/name,keywords/35/id,keywords/35/name,keywords/36/id,keywords/36/name,keywords/37/id,keywords/37/name,keywords/38/id,keywords/38/name,keywords/39/id,keywords/39/name,keywords/40/id,keywords/40/name,keywords/41/id,keywords/41/name,keywords/42/id,keywords/42/name,keywords/43/id,keywords/43/name,keywords/44/id,keywords/44/name,keywords/45/id,keywords/45/name,keywords/46/id,keywords/46/name,keywords/47/id,keywords/47/name,keywords/48/id,keywords/48/name,keywords/49/id,keywords/49/name,keywords/50/id,keywords/50/name,keywords/51/id,keywords/51/name,keywords/52/id,keywords/52/name,keywords/53/id,keywords/53/name,keywords/54/id,keywords/54/name,keywords/55/id,keywords/55/name,keywords/56/id,keywords/56/name,keywords/57/id,keywords/57/name,keywords/58/id,keywords/58/name,keywords/59/id,keywords/59/name,keywords/60/id,keywords/60/name,keywords/61/id,keywords/61/name,keywords/62/id,keywords/62/name,keywords/63/id,keywords/63/name,keywords/64/id,keywords/64/name,keywords/65/id,keywords/65/name,keywords/66/id,keywords/66/name,keywords/67/id,keywords/67/name,keywords/68/id,keywords/68/name,keywords/69/id,keywords/69/name,keywords/70/id,keywords/70/name,keywords/71/id,keywords/71/name,keywords/72/id,keywords/72/name,keywords/73/id,keywords/73/name,keywords/74/id,keywords/74/name,keywords/75/id,keywords/75/name,keywords/76/id,keywords/76/name,keywords/77/id,keywords/77/name,keywords/78/id,keywords/78/name,keywords/79/id,keywords/79/name,keywords/80/id,keywords/80/name,keywords/81/id,keywords/81/name,keywords/82/id,keywords/82/name,keywords/83/id,keywords/83/name,keywords/84/id,keywords/84/name,keywords/85/id,keywords/85/name,keywords/86/id,keywords/86/name,keywords/87/id,keywords/87/name,keywords/88/id,keywords/88/name,keywords/89/id,keywords/89/name,keywords/90/id,keywords/90/name,keywords/91/id,keywords/91/name,keywords/92/id,keywords/92/name,keywords/93/id,keywords/93/name,keywords/94/id,keywords/94/name,keywords/95/id,keywords/95/name,keywords/96/id,keywords/96/name,keywords/97/id,keywords/97/name,keywords/98/id,keywords/98/name,keywords/99/id,keywords/99/name,keywords/100/id,keywords/100/name,keywords/101/id,keywords/101/name,keywords/102/id,keywords/102/name,keywords/103/id,keywords/103/name,keywords/104/id,keywords/104/name,keywords/105/id,keywords/105/name,keywords/106/id,keywords/106/name,keywords/107/id,keywords/107/name,keywords/108/id,keywords/108/name,keywords/109/id,keywords/109/name,keywords/110/id,keywords/110/name,keywords/111/id,keywords/111/name,keywords/112/id,keywords/112/name,keywords/113/id,keywords/113/name,keywords/114/id,keywords/114/name,keywords/115/id,keywords/115/name,keywords/116/id,keywords/116/name,platforms/4/id,platforms/4/name,platforms/5/id,platforms/5/name,rating,rating_count,platforms/6/id,platforms/6/name,keywords/117/id,keywords/117/name,keywords/118/id,keywords/118/name,keywords/119/id,keywords/119/name,keywords/120/id,keywords/120/name,keywords/121/id,keywords/121/name,keywords/122/id,keywords/122/name,keywords/123/id,keywords/123/name,keywords/124/id,keywords/124/name,keywords/125/id,keywords/125/name,keywords/126/id,keywords/126/name,keywords/127/id,keywords/127/name,keywords/128/id,keywords/128/name,keywords/129/id,keywords/129/name,keywords/130/id,keywords/130/name,keywords/131/id,keywords/131/name,keywords/132/id,keywords/132/name,keywords/133/id,keywords/133/name,keywords/134/id,keywords/134/name,keywords/135/id,keywords/135/name,keywords/136/id,keywords/136/name,keywords/137/id,keywords/137/name,keywords/138/id,keywords/138/name,keywords/139/id,keywords/139/name,keywords/140/id,keywords/140/name,keywords/141/id,keywords/141/name,keywords/142/id,keywords/142/name,keywords/143/id,keywords/143/name,keywords/144/id,keywords/144/name,keywords/145/id,keywords/145/name,keywords/146/id,keywords/146/name,keywords/147/id,keywords/147/name,keywords/148/id,keywords/148/name,keywords/149/id,keywords/149/name,keywords/150/id,keywords/150/name,keywords/151/id,keywords/151/name,keywords/152/id,keywords/152/name,keywords/153/id,keywords/153/name,keywords/154/id,keywords/154/name,keywords/155/id,keywords/155/name,keywords/156/id,keywords/156/name,keywords/157/id,keywords/157/name,keywords/158/id,keywords/158/name,keywords/159/id,keywords/159/name,keywords/160/id,keywords/160/name,keywords/161/id,keywords/161/name,keywords/162/id,keywords/162/name,keywords/163/id,keywords/163/name,keywords/164/id,keywords/164/name,keywords/165/id,keywords/165/name,keywords/166/id,keywords/166/name,keywords/167/id,keywords/167/name,keywords/168/id,keywords/168/name,keywords/169/id,keywords/169/name,keywords/170/id,keywords/170/name,keywords/171/id,keywords/171/name,keywords/172/id,keywords/172/name,keywords/173/id,keywords/173/name,keywords/174/id,keywords/174/name,keywords/175/id,keywords/175/name,keywords/176/id,keywords/176/name,keywords/177/id,keywords/177/name,keywords/178/id,keywords/178/name,keywords/179/id,keywords/179/name,keywords/180/id,keywords/180/name,keywords/181/id,keywords/181/name,keywords/182/id,keywords/182/name,keywords/183/id,keywords/183/name,keywords/184/id,keywords/184/name,keywords/185/id,keywords/185/name,keywords/186/id,keywords/186/name,keywords/187/id,keywords/187/name,keywords/188/id,keywords/188/name,keywords/189/id,keywords/189/name,keywords/190/id,keywords/190/name,keywords/191/id,keywords/191/name,keywords/192/id,keywords/192/name,keywords/193/id,keywords/193/name,keywords/194/id,keywords/194/name,keywords/195/id,keywords/195/name,keywords/196/id,keywords/196/name,keywords/197/id,keywords/197/name,keywords/198/id,keywords/198/name,keywords/199/id,keywords/199/name,keywords/200/id,keywords/200/name,keywords/201/id,keywords/201/name,keywords/202/id,keywords/202/name,franchises/3/id,franchises/3/name,franchises/4/id,franchises/4/name,franchises/5/id,franchises/5/name,franchises/6/id,franchises/6/name,franchises/7/id,franchises/7/name,genres/4/id,genres/4/name,platforms/7/id,platforms/7/name,themes/4/id,themes/4/name,franchises/8/id,franchises/8/name,franchises/9/id,franchises/9/name,franchises/10/id,franchises/10/name,franchises/11/id,franchises/11/name,franchises/12/id,franchises/12/name,franchises/13/id,franchises/13/name,franchises/14/id,franchises/14/name,franchises/15/id,franchises/15/name,franchises/16/id,franchises/16/name,genres/5/id,genres/5/name,keywords/203/id,keywords/203/name,keywords/204/id,keywords/204/name,keywords/205/id,keywords/205/name,keywords/206/id,keywords/206/name,keywords/207/id,keywords/207/name,keywords/208/id,keywords/208/name,keywords/209/id,keywords/209/name,keywords/210/id,keywords/210/name,keywords/211/id,keywords/211/name,keywords/212/id,keywords/212/name,keywords/213/id,keywords/213/name,keywords/214/id,keywords/214/name,keywords/215/id,keywords/215/name,keywords/216/id,keywords/216/name,keywords/217/id,keywords/217/name,keywords/218/id,keywords/218/name,keywords/219/id,keywords/219/name,keywords/220/id,keywords/220/name,keywords/221/id,keywords/221/name,keywords/222/id,keywords/222/name,keywords/223/id,keywords/223/name,keywords/224/id,keywords/224/name,keywords/225/id,keywords/225/name,keywords/226/id,keywords/226/name,keywords/227/id,keywords/227/name,keywords/228/id,keywords/228/name,keywords/229/id,keywords/229/name,keywords/230/id,keywords/230/name,keywords/231/id,keywords/231/name,keywords/232/id,keywords/232/name,keywords/233/id,keywords/233/name,keywords/234/id,keywords/234/name,keywords/235/id,keywords/235/name,keywords/236/id,keywords/236/name,keywords/237/id,keywords/237/name,keywords/238/id,keywords/238/name,keywords/239/id,keywords/239/name,keywords/240/id,keywords/240/name,keywords/241/id,keywords/241/name,keywords/242/id,keywords/242/name,keywords/243/id,keywords/243/name,keywords/244/id,keywords/244/name,keywords/245/id,keywords/245/name,keywords/246/id,keywords/246/name,keywords/247/id,keywords/247/name,keywords/248/id,keywords/248/name,keywords/249/id,keywords/249/name,keywords/250/id,keywords/250/name,keywords/251/id,keywords/251/name,keywords/252/id,keywords/252/name,keywords/253/id,keywords/253/name,keywords/254/id,keywords/254/name,keywords/255/id,keywords/255/name,keywords/256/id,keywords/256/name,keywords/257/id,keywords/257/name,keywords/258/id,keywords/258/name,keywords/259/id,keywords/259/name,keywords/260/id,keywords/260/name,keywords/261/id,keywords/261/name,keywords/262/id,keywords/262/name,keywords/263/id,keywords/263/name,keywords/264/id,keywords/264/name,keywords/265/id,keywords/265/name,keywords/266/id,keywords/266/name,keywords/267/id,keywords/267/name,keywords/268/id,keywords/268/name,keywords/269/id,keywords/269/name,keywords/270/id,keywords/270/name,game_modes/4/id,game_modes/4/name
192113,11,6172,Sonic Adventure,457,Sonic The Hedgehog,,,,,1,Single player,8,Platform,,,532,psn,550,xbla,Sonic Adventure,9,PlayStation 3,19150,Vagante,28070,Planet Alpha,55173,Semblance,55190,Pikuniku,56033,Dream Alone,75242,Blood & Truth,76110,Cookies vs. Claus,96452,Big Crown: Showdown,113895,Havocado,120184,SolSeraph,1,Action,,,,,,,4134,digital distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Xbox 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186206,11,717,Contra,1811,Contra,,,,,1,Single player,5,Shooter,,,29003,regional port,,,Probotector,29,Sega Mega Drive/Genesis,306,Far Cry,27283,Earth Defense Force 5,55038,Immortal: Unchained,68286,Earth Defense Force: Iron Rain,89550,Zoids Wild: Blast Unleashed,103301,Wolfenstein: Youngblood,105049,Remnant: From the Ashes,105269,Gene Rain,106805,Call of Duty: Mobile,113362,PlanetSide Arena,1,Action,2,Multiplayer,3,Co-operative,,,,,,,,,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186202,11,717,Contra,1811,Contra,,,,,1,Single player,5,Shooter,,,5437,konami code,29003,regional port,Probotector,18,Nintendo Entertainment System,306,Far Cry,55038,Immortal: Unchained,68286,Earth Defense Force: Iron Rain,89550,Zoids Wild: Blast Unleashed,103301,Wolfenstein: Youngblood,105049,Remnant: From the Ashes,105269,Gene Rain,106805,Call of Duty: Mobile,107318,Rebel Galaxy Outlaw,113362,PlanetSide Arena,1,Action,2,Multiplayer,3,Co-operative,,,31124,regional differences,,,,,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222687,0,,,845,Mario,1567,Yoshi,,,1,Single player,9,Puzzle,,,2165,yoshi,27098,web game,Poochy's Mix-Up,82,Web browser,8324,Dynomite!,10603,Numba Deluxe,19222,Digging Jim,25905,Winds of Revenge,87507,Whirly Word HD,88511,Word Charm,89132,Little Things Forever,90788,Munchkin Match,95776,Turn It On!,106992,A Fisherman's Tale,35,Kids,,,,,,,36044,poochy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206604,11,,,3811,Chocoball,,,,,1,Single player,8,Platform,31,Adventure,2152,high score,2626,tower,Kyoro-chan Land,33,Game Boy,19150,Vagante,24426,Forgotton Anne,28070,Planet Alpha,29032,Pepper Grinder,55199,Dragon: Marked for Death,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,106987,Torchlight III,110503,Degrees of Separation,113360,Hytale,1,Action,,,,,,,3793,score,4054,timer,4213,countdown timer,17,Fantasy,,,,,,,,,17314,time,18378,ranking,18432,shoot,29003,regional port,34043,kyoro-chan,34559,bonus,35258,kyoro-chan land,35664,morinaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198605,7,7451,Apex Legends,1635,Titanfall,,,,,2,Multiplayer,5,Shooter,,,466,fps,3510,battle royale,Apex Legends: Saviors,6,PC (Microsoft Windows),306,Far Cry,19164,Borderlands 3,55038,Immortal: Unchained,87622,Garena Free Fire,95340,PUBG Mobile,103301,Wolfenstein: Youngblood,105049,Remnant: From the Ashes,105269,Gene Rain,106805,Call of Duty: Mobile,113362,PlanetSide Arena,1,Action,6,Battle Royale,,,,,,,,,,,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,48,PlayStation 4,49,Xbox One,130,Nintendo Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,PlayStation 5,169,Xbox Series X|S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198213,10,7792,Bomberman 3D,799,Bomberman,,,,,1,Single player,33,Arcade,,,32922,yahoo keitai,,,Bomberman 3D BT Wide-ban,55,Legacy Mobile Device,25640,Octogeddon,43367,Rico,87668,Galaxy Attack: Alien Shooter,87728,Pigeon Pop,89025,Helix Jump,90965,Donut Drop With Molly & Friends,112078,Sky Gamblers: Storm Raiders 2,113895,Havocado,117939,Hyperlight Ultimate,121036,Hot Shot Burn,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185882,0,244,Kirby,789,Kirby,,,,,1,Single player,33,Arcade,,,5340,canceled games,23861,cancelled games,Kirby Tilt 'n' Tumble 2,21,Nintendo GameCube,49414,Oriental Blue,89817,Disney Emoji Blitz,90965,Donut Drop With Molly & Friends,96217,Eternity: The Last Unicorn,99118,Dragalia Lost,103369,KILL la KILL: IF,110503,Degrees of Separation,111187,Eve: Echoes,115653,Pokémon Shield,185883,Roll-o-Rama,17,Fantasy,,,,,,,31242,gamecube - game boy advance link cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214985,0,7758,Punity,3510,Punity,,,,,1,Single player,5,Shooter,14,Sport,101,casual,114,arena,PUNIHI LOADER 2,6,PC (Microsoft Windows),43367,Rico,47823,Citadel: Forged With Fire,55038,Immortal: Unchained,76263,Contraband Police,96239,Radical Heights,103292,Gears 5,105049,Remnant: From the Ashes,105269,Gene Rain,118218,Tom Clancy's Ghost Recon: Breakpoint,195983,Punihi Loader,1,Action,,,,,,,167,mech,182,character customization,897,third person shooter,,,,,,,32,Indie,,,1448,mecha,1529,third person,3461,single player,3539,mechs,4138,single-player only,4272,customizable characters,6367,mechanic,16944,robot customization,,,,,,,22689,third person shooter game,23757,mech customization,25399,routine job,28349,mech arena,32407,the pursuit of money,34019,customize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206606,9,,,1585,K-ON!,,,,,1,Single player,7,Music,,,24110,k-on,24111,keion,K-ON! Houkago Live!! HD Ver.,9,PlayStation 3,23095,Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2,38485,K-ON! Houkago Live!!,46417,Kris Kross: Make My Video,46418,INXS: Make My Video,63933,EZ2ON,77720,Re:Stage! Prism Step,86847,Melody Jams,87150,Infinity Beats Song Edition,177442,Samurai Shaver,229275,Funkbot 02,27,Comedy,3,Co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
